country,first_name,last_name,subdomain,full_url,status_code,result
Canada,Maxime,Blanchette-Joncas,mblanchettejoncas,mblanchettejoncas.caseworkermp.com,500,OTHER_500
Canada,Kelly,Block,kblock,kblock.caseworkermp.com,500,OTHER_500
Canada,Kody,Blois,kblois,kblois.caseworkermp.com,500,OTHER_500
Canada,Patrick,Bonin,pbonin,pbonin.caseworkermp.com,500,OTHER_500
Canada,Steven,Bonk,sbonk,sbonk.caseworkermp.com,500,OTHER_500
Canada,Kathy,Borrelli,kborrelli,kborrelli.caseworkermp.com,500,OTHER_500
Canada,Francis,Scarpaleggia,fscarpaleggia,fscarpaleggia.caseworkermp.com,500,OTHER_500
Canada,Matt,Jeneroux,mjeneroux,mjeneroux.caseworkermp.com,500,OTHER_500
Canada,Steven,Guilbeault,sguilbeault,sguilbeault.caseworkermp.com,500,OTHER_500
Canada,Michael,Ma,michaelma,michaelma.caseworkermp.com,500,OTHER_500
